drug_id,smiles
D00001,COc1ccc(C(=O)Nc2ccc3c(c2)C2(CCSC(N)=N2)c2cc(C4=CCOCC4)nc(F)c2O3)nc1
D00002,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
D00003,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O
D00004,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C
D00005,CN[C@@H](C)C(=O)N[C@H]1CCc2ccccc2N(Cc2c(OC)ccc3c(Br)cccc23)C1=O
D00006,NS(=O)(=O)c1cc(C(=O)NC2CCSc3ccccc32)ccc1Cl
D00007,O=C(NO)[C@H]1CN(Cc2ccc(Oc3ccc4ccccc4c3)cc2)C(=O)N1
D00008,O=C(Nc1ccc(S(=O)(=O)[O-])c2ccccc12)C(CS)Cc1ccccc1
D00009,CCCNNC(=O)c1ccc(NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)c2ccc(OC)cc2)cc1
D00010,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccccc1)c1ccccc1)N2C
D00011,COC(=O)c1c(-c2ccccc2)c2cc(Br)ccc2c(=O)n1Cc1ccc(S(C)(=O)=O)cc1
D00012,C[C@@H]1C(=O)NCCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F
D00013,C#CCNc1ccnc2sc3c(=O)n(-c4ccc(OC)cc4)cnc3c12
D00014,N#C[C@H]1C[C@@H](N2CCC2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc([C@H](O)C(F)(F)F)cc2)n1
D00015,O=C(Nc1cccnc1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O
D00016,O=C(Nc1cccc(-c2ccnc3cc(-c4ccncc4)nn23)c1)c1cccc(C(F)(F)F)c1
D00017,Cc1c(S(=O)(=O)N2CCN(CC(=O)NC(CCCNC(=N)N)C(=O)c3nccs3)C(=O)C2)sc2ccc(Cl)cc12
D00018,O=c1[nH]c(-c2ccc(Br)cc2)nc2ccccc12
D00019,Cc1c(OCCN(C)CCCF)ncc(F)c1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1C[C@@H](C)C(=O)O
D00020,CCCN(CCC)[C@H]1CCn2cccc2C1
D00021,CN[C@@H](C)C(=O)N[C@H]1CCc2ccccc2N(Cc2c(OC)ccc3cc(C(=O)O)ccc23)C1=O
D00022,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1
D00023,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
D00024,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCO
D00025,Cc1cc(CCC2CCN(S(=O)(=O)C[C@](C)(C[C@H](C)c3ncc(F)cn3)N(O)C=O)CC2)c(C)cn1
D00026,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCCNC1CC2CCC(C1)N2C
D00027,COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1
D00028,CC(=O)NS(=O)(=O)c1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)C(=O)OC2)cc1
D00029,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CC(C)C)c2ccccc2N(Cc2c(OC)ccc3cc(Br)ccc23)C1=O
D00030,CC(C)N1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(C5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1
D00031,CS(=O)(=O)c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1
D00032,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(N)cc4)nc32)CC1
D00033,COCc1c(C)c(-c2[nH]c3ccc(C4CCN(CC(=O)N(C)C)CC4)cc3c2C(C)C)cn2ncnc12
D00034,Nc1c2c(nc3ccccc13)CCC2
D00035,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
D00036,C[C@]1(c2nc3cccc(C(N)=O)c3[nH]2)CCCN1
D00037,Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2cc3ccccc3cc2C(=N)N)n1
D00038,NS(=O)(=O)c1ccc(Cc2cn(-c3nc(C(=O)O)cs3)nc2-c2cccc(-c3ccccc3)c2)cc1
D00039,O=C(c1ccc(F)cc1)C1CCN(CC(=O)N(Cc2nc3c(c(=O)[nH]2)COCC3)Cc2ccccc2F)CC1
D00040,Cn1ncc2ccc(Nc3ncnc(-c4ccc(O[C@H]5CCN(C(=O)CO)C[C@H]5F)c(C#N)c4)n3)cc21
D00041,Cc1nsc(-c2nnc3n2CCN(C(=O)c2ccc(F)c(F)c2)[C@@H]3C)n1
D00042,Cc1nc2nc(N3CCN4CCC3CC4)oc2cc1Cl
D00043,CCCCCNc1ncc(C(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)c(N[C@H]2CC[C@H](O)CC2)n1
D00044,COCCOc1cc(Cl)c(C(=O)NCc2ccc(-c3cc[nH]c(=O)c3)cc2)c(Cl)c1
D00045,O=C1C(=O)N(Cc2ccc(I)cc2)c2ccc(S(=O)(=O)N3CCC[C@H]3COc3ccccc3)cc21
D00046,CC(=O)N1CC(n2cc(C3CC3)c3c2C(c2ccc(Cl)cc2)N(c2cc(C)c4nnn(C)c4n2)C3=O)C1
D00047,O=C1NN=C2CCCCc3[nH]c4cccc1c4c32
D00048,COc1ccc(-c2cc(-c3ccccc3)c(-c3ccc(S(C)(=O)=O)cc3)c(=O)o2)cc1
D00049,O=C(O[C@@H]1CCC[C@H]1Cc1ccc(O)cc1)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1
D00050,C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@](CCNS(N)(=O)=O)(c2ccc(F)cc2)OC1=O
