drug_id,protein_id,interaction,split
D00001,P00001,0,train
D00002,P00002,1,train
D00003,P00003,0,train
D00004,P00004,0,train
D00005,P00005,0,train
D00006,P00006,0,train
D00007,P00007,1,train
D00008,P00008,0,train
D00009,P00009,0,train
D00010,P00010,1,train
D00011,P00011,1,train
D00012,P00012,0,train
D00013,P00002,0,train
D00014,P00013,0,train
D00015,P00014,1,train
D00016,P00015,0,train
D00017,P00016,1,train
D00018,P00017,0,train
D00019,P00018,1,train
D00020,P00019,0,train
D00021,P00005,0,train
D00022,P00020,0,train
D00023,P00021,0,train
D00024,P00022,1,train
D00025,P00023,0,train
D00026,P00024,1,train
D00027,P00024,0,train
D00028,P00025,1,train
D00029,P00026,0,train
D00030,P00027,0,train
D00031,P00028,0,train
D00032,P00029,0,train
D00033,P00030,1,train
D00034,P00031,1,train
D00035,P00032,1,train
D00036,P00017,1,train
D00037,P00033,0,train
D00038,P00034,1,train
D00039,P00035,0,train
D00040,P00036,1,train
D00041,P00037,1,train
D00042,P00002,0,train
D00043,P00038,1,train
D00044,P00039,0,train
D00045,P00040,1,train
D00046,P00041,0,train
D00047,P00017,1,train
D00048,P00042,0,train
D00049,P00043,1,train
D00050,P00044,0,train
D00051,P00045,1,train
D00052,P00046,0,train
D00053,P00047,0,train
D00054,P00048,1,train
D00055,P00049,0,train
D00056,P00050,0,train
D00057,P00051,0,train
D00058,P00052,1,train
D00059,P00050,1,train
D00060,P00020,0,train
D00061,P00053,1,train
D00062,P00001,0,train
D00063,P00054,0,train
D00064,P00002,0,train
D00065,P00055,1,train
D00066,P00056,0,train
D00067,P00026,0,train
D00068,P00057,0,train
D00069,P00058,0,train
D00070,P00059,0,train
D00071,P00060,1,train
D00072,P00061,0,train
D00073,P00036,1,train
D00074,P00062,1,train
D00075,P00063,0,train
D00076,P00064,1,train
D00077,P00012,0,train
D00078,P00065,1,train
D00079,P00002,0,train
D00080,P00066,1,train
D00081,P00067,1,train
D00082,P00068,0,train
D00083,P00069,1,train
D00084,P00070,0,train
D00085,P00071,0,train
D00086,P00072,0,train
D00087,P00073,0,train
D00088,P00074,0,train
D00089,P00075,1,train
D00090,P00001,0,train
D00091,P00012,0,train
D00092,P00066,1,train
D00093,P00072,0,train
D00094,P00076,0,train
D00095,P00066,1,train
D00096,P00077,1,train
D00097,P00078,1,train
D00098,P00079,1,train
D00099,P00080,1,train
D00100,P00081,0,train
D00101,P00082,1,train
D00102,P00083,1,train
D00103,P00084,0,train
D00104,P00085,1,train
D00105,P00065,1,train
D00106,P00086,1,train
D00107,P00053,0,train
D00108,P00002,0,train
D00109,P00087,0,train
