drug_id,protein_id,interaction,split
D00000,P00000,,train
D00001,P00001,0.0,train
D00002,P00002,1.0,train
D00003,P00003,2.0,train
D00004,P00004,3.0,train
D00005,P00005,4.0,train
D00006,P00006,5.0,train
D00007,P00007,6.0,train
D00008,P00008,7.0,train
D00009,P00009,8.0,train
D00010,P00010,9.0,train
D00011,P00011,10.0,train
D00012,P00012,11.0,train
D00013,P00013,12.0,train
D00014,P00014,13.0,train
D00015,P00015,14.0,train
D00016,P00016,15.0,train
D00017,P00017,16.0,train
D00018,P00018,17.0,train
D00019,P00019,18.0,train
D00020,P00020,19.0,train
D00021,P00021,20.0,train
D00022,P00022,21.0,train
D00023,P00023,22.0,train
D00024,P00024,23.0,train
D00025,P00025,24.0,train
D00026,P00026,25.0,train
D00027,P00027,26.0,train
D00028,P00028,27.0,train
D00029,P00029,28.0,train
D00030,P00030,29.0,train
D00031,P00031,30.0,train
D00032,P00032,31.0,train
D00033,P00033,32.0,train
D00034,P00034,33.0,train
D00035,P00035,34.0,train
D00036,P00036,35.0,train
D00037,P00037,36.0,train
D00038,P00038,37.0,train
D00039,P00039,38.0,train
D00040,P00040,39.0,train
D00041,P00041,40.0,train
D00042,P00042,41.0,train
D00043,P00043,42.0,train
D00044,P00044,43.0,train
D00045,P00045,44.0,train
D00046,P00046,45.0,train
D00047,P00047,46.0,train
D00048,P00048,47.0,train
D00049,P00049,48.0,train
D00050,P00050,49.0,train
D00051,P00051,50.0,train
D00052,P00052,51.0,train
D00053,P00053,52.0,train
D00054,P00054,53.0,train
D00055,P00055,54.0,train
D00056,P00056,55.0,train
D00057,P00057,56.0,train
D00058,P00058,57.0,train
D00059,P00059,58.0,train
D00060,P00060,59.0,train
D00061,P00061,60.0,train
D00062,P00062,61.0,train
D00063,P00063,62.0,train
D00064,P00064,63.0,train
D00065,P00065,64.0,train
D00066,P00066,65.0,train
D00067,P00067,66.0,train
D00068,P00068,67.0,train
D00069,P00069,68.0,train
D00070,P00070,69.0,train
D00071,P00071,70.0,train
D00072,P00072,71.0,train
D00073,P00073,72.0,train
D00074,P00074,73.0,train
D00075,P00075,74.0,train
D00076,P00076,75.0,train
D00077,P00077,76.0,train
D00078,P00078,77.0,train
D00079,P00079,78.0,train
D00080,P00080,79.0,train
D00081,P00081,80.0,train
D00082,P00082,81.0,train
D00083,P00083,82.0,train
D00084,P00084,83.0,train
D00085,P00085,84.0,train
D00086,P00086,85.0,train
D00087,P00087,86.0,train
D00088,P00088,87.0,train
D00089,P00089,88.0,train
D00090,P00090,89.0,train
D00091,P00091,90.0,train
D00092,P00092,91.0,train
D00093,P00093,92.0,train
D00094,P00094,93.0,train
D00095,P00095,94.0,train
D00096,P00096,95.0,train
D00097,P00097,96.0,train
D00098,P00098,97.0,train
D00099,P00099,98.0,train
D00100,P00100,99.0,train
D00101,P00101,100.0,train
D00102,P00102,101.0,train
D00103,P00103,102.0,train
D00104,P00104,103.0,train
D00105,P00105,104.0,train
D00106,P00106,105.0,train
D00107,P00107,106.0,train
D00108,P00108,107.0,train
D00109,P00109,108.0,train
D00110,P00110,109.0,train
D00111,P00111,110.0,train
D00112,P00112,111.0,train
D00113,P00113,112.0,train
D00114,P00114,113.0,train
D00115,P00115,114.0,train
D00116,P00116,115.0,train
D00117,P00117,116.0,train
D00118,P00118,117.0,train
D00119,P00119,118.0,train
D00120,P00120,119.0,train
D00121,P00121,120.0,train
D00122,P00122,121.0,train
D00123,P00123,122.0,train
D00124,P00124,123.0,train
D00125,P00125,124.0,train
D00126,P00126,125.0,train
D00127,P00127,126.0,train
D00128,P00128,127.0,train
D00129,P00129,128.0,train
D00130,P00130,129.0,train
D00131,P00131,130.0,train
D00132,P00132,131.0,train
D00133,P00133,132.0,train
D00134,P00134,133.0,train
D00135,P00135,134.0,train
D00136,P00136,135.0,train
D00137,P00137,136.0,train
D00138,P00138,137.0,train
D00139,P00139,138.0,train
D00140,P00140,139.0,train
D00141,P00141,140.0,train
D00142,P00142,141.0,train
D00143,P00143,142.0,train
D00144,P00144,143.0,train
D00145,P00145,144.0,train
D00146,P00146,145.0,train
D00147,P00147,146.0,train
D00148,P00148,147.0,train
D00149,P00149,148.0,train
D00150,P00150,149.0,train
D00151,P00151,150.0,train
D00152,P00152,151.0,train
D00153,P00153,152.0,train
D00154,P00154,153.0,train
D00155,P00155,154.0,train
D00156,P00156,155.0,train
D00157,P00157,156.0,train
D00158,P00158,157.0,train
D00159,P00159,158.0,train
D00160,P00160,159.0,train
D00161,P00161,160.0,train
D00162,P00162,161.0,train
D00163,P00163,162.0,train
D00164,P00164,163.0,train
D00165,P00165,164.0,train
D00166,P00166,165.0,train
D00167,P00167,166.0,train
D00168,P00168,167.0,train
D00169,P00169,168.0,train
D00170,P00170,169.0,train
D00171,P00171,170.0,train
D00172,P00172,171.0,train
D00173,P00173,172.0,train
D00174,P00174,173.0,train
D00175,P00175,174.0,train
