drug_id,protein_id,interaction,split
D00001,P00001,0,train
D00002,P00002,0,train
D00003,P00003,1,train
D00004,P00004,0,train
D00005,P00005,0,train
D00006,P00006,0,train
D00007,P00007,1,train
D00008,P00008,1,train
D00009,P00009,0,train
D00010,P00010,0,train
D00011,P00011,0,train
D00012,P00012,1,train
D00013,P00013,1,train
D00014,P00014,1,train
D00015,P00015,0,train
D00016,P00016,1,train
D00017,P00017,1,train
D00018,P00018,1,train
D00019,P00019,1,train
D00020,P00020,0,train
D00021,P00021,0,train
D00022,P00022,1,train
D00023,P00023,0,train
D00024,P00024,1,train
D00025,P00025,0,train
D00026,P00026,0,train
D00027,P00027,0,train
D00028,P00028,0,train
D00029,P00029,1,train
D00030,P00030,1,train
D00031,P00031,0,train
D00032,P00032,1,train
D00033,P00033,0,train
D00034,P00034,1,train
D00035,P00035,1,train
D00036,P00036,0,train
D00037,P00037,0,train
D00038,P00038,0,train
D00039,P00039,1,train
D00040,P00040,1,train
D00041,P00041,0,train
D00042,P00012,1,train
D00043,P00042,1,train
D00044,P00043,0,train
D00045,P00044,1,train
D00046,P00045,1,train
D00047,P00046,1,train
D00048,P00047,1,train
D00049,P00048,0,train
D00050,P00049,1,train
D00051,P00050,1,train
D00052,P00051,1,train
D00053,P00052,0,train
D00054,P00053,0,train
D00055,P00054,1,train
D00056,P00055,0,train
D00057,P00056,1,train
D00058,P00057,0,train
D00059,P00058,0,train
D00060,P00059,0,train
D00061,P00060,1,train
D00062,P00061,0,train
D00063,P00062,0,train
D00057,P00063,1,train
D00064,P00064,0,train
D00065,P00065,0,train
D00066,P00066,1,train
D00067,P00067,0,train
D00068,P00029,0,train
D00069,P00068,0,train
D00070,P00012,1,train
D00071,P00069,0,train
D00072,P00070,1,train
D00073,P00071,0,train
D00074,P00072,1,train
D00075,P00073,0,train
D00076,P00074,0,train
D00077,P00075,0,train
D00078,P00076,0,train
D00079,P00077,0,train
D00080,P00078,1,train
D00081,P00079,1,train
D00082,P00080,0,train
D00083,P00081,0,train
D00084,P00082,0,train
D00085,P00083,0,train
D00086,P00084,0,train
D00087,P00085,1,train
D00088,P00086,0,train
D00089,P00087,1,train
D00090,P00088,0,train
D00091,P00089,0,train
D00092,P00090,1,train
D00093,P00091,0,train
D00094,P00092,1,train
D00095,P00093,0,train
D00096,P00022,1,train
D00097,P00094,1,train
D00098,P00095,0,train
D00099,P00096,0,train
D00100,P00097,0,train
D00101,P00056,1,train
D00102,P00098,0,train
D00103,P00099,1,train
D00104,P00100,1,train
D00105,P00101,1,train
D00106,P00102,0,train
D00107,P00103,1,train
D00108,P00104,1,train
D00109,P00105,0,train
D00110,P00106,0,train
D00111,P00049,1,train
D00112,P00107,0,train
D00113,P00108,0,train
D00114,P00109,0,train
D00115,P00110,0,train
D00097,P00111,1,train
D00116,P00112,1,train
D00117,P00113,0,train
D00118,P00114,0,train
D00119,P00115,0,train
D00120,P00116,0,train
D00121,P00117,0,train
D00122,P00118,0,train
D00123,P00119,0,train
D00124,P00120,1,train
D00125,P00049,1,train
D00126,P00121,0,train
D00127,P00122,0,train
D00128,P00123,0,train
D00129,P00124,1,train
D00130,P00125,1,train
D00131,P00126,0,train
D00132,P00127,0,train
D00133,P00128,1,train
D00134,P00129,0,train
D00135,P00130,1,train
D00136,P00131,1,train
D00137,P00132,0,train
D00138,P00133,1,train
D00139,P00134,1,train
D00140,P00135,1,train
D00141,P00136,0,train
D00142,P00137,1,train
D00143,P00138,1,train
D00144,P00139,0,train
D00145,P00140,0,train
D00146,P00141,0,train
D00147,P00142,1,train
D00148,P00143,1,train
D00149,P00144,0,train
D00150,P00145,0,train
D00151,P00146,1,train
D00152,P00147,0,train
D00141,P00148,1,train
D00153,P00149,0,train
D00154,P00150,0,train
D00067,P00072,1,train
D00155,P00151,0,train
D00156,P00152,1,train
D00157,P00153,0,train
D00158,P00154,0,train
D00159,P00155,1,train
D00160,P00156,1,train
D00161,P00157,0,train
D00162,P00158,1,train
D00133,P00115,1,train
D00163,P00044,1,train
D00164,P00159,0,train
D00165,P00160,0,train
D00166,P00161,1,train
D00167,P00044,1,train
D00168,P00162,0,train
D00169,P00155,0,train
D00170,P00163,0,train
D00171,P00164,0,train
D00172,P00165,0,train
D00173,P00124,1,train
D00174,P00166,1,train
D00175,P00167,0,train
D00176,P00168,0,train
D00177,P00169,1,train
D00178,P00170,1,train
D00179,P00171,1,train
D00180,P00172,0,train
D00181,P00173,0,train
D00182,P00174,1,train
D00183,P00175,1,train
D00184,P00176,0,train
D00185,P00177,1,train
D00186,P00178,0,train
D00187,P00179,0,train
D00188,P00180,1,train
D00189,P00169,0,train
D00190,P00181,1,train
D00191,P00124,1,train
D00092,P00182,1,train
D00192,P00183,1,train
D00193,P00184,0,train
D00130,P00185,1,train
D00194,P00186,0,train
D00195,P00174,1,train
D00196,P00187,0,train
D00197,P00188,1,train
D00198,P00189,1,train
D00199,P00190,0,train
D00200,P00191,0,train
D00201,P00192,0,train
D00202,P00193,0,train
D00203,P00194,0,train
D00204,P00195,0,train
D00205,P00196,0,train
D00206,P00197,0,train
D00207,P00197,0,train
D00208,P00198,1,train
D00209,P00199,1,train
D00210,P00130,1,train
D00211,P00200,0,train
D00212,P00201,0,train
D00213,P00202,0,train
D00214,P00142,1,train
D00215,P00115,1,train
D00216,P00203,1,train
D00217,P00204,0,train
D00218,P00205,0,train
D00219,P00206,0,train
D00220,P00056,1,train
D00221,P00207,0,train
D00222,P00208,1,train
D00223,P00209,0,train
D00224,P00210,0,train
D00225,P00124,1,train
D00226,P00211,1,train
D00227,P00142,1,train
D00228,P00212,1,train
D00229,P00213,1,train
D00230,P00111,0,train
D00231,P00214,1,train
D00232,P00215,0,train
D00233,P00209,0,train
D00234,P00216,0,train
