drug_id,smiles
D00001,CC(=O)[O-].CC(=O)[O-].[Cu+2]
D00002,C(CC(=O)N)C(=O)N
D00003,C1=CN(C2=C1C(=NC=N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
D00004,C([C@@H](C(=O)O)N)S(=O)(=O)O
D00005,[Mg+2]
D00006,C(C#N)C(C(=O)O)N
D00007,CC(C)C[C@@H](CC(=O)O)CN
D00008,C1=CC2=C(C=C1F)C(=CN2)CC(C(=O)O)N
D00009,CC(=O)[O-].CC(=O)[O-].[Pb+2]
D00010,C(C(C(=O)O)S)(C(=O)O)S
D00011,C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N
D00012,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O
D00013,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
D00014,C1=CC(=CC=C1C[C@@H](C(=O)O)N)OP(=O)(O)O
D00015,CN(C)CC(=O)O
D00016,CCC(=O)O
D00017,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C
D00018,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC
D00019,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C
D00020,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)Cl)NC2=O)C
D00021,CCC(=O)C
D00022,C(C(CO)O)O
D00023,CCNC(=O)C1C(C(C(O1)N2C=NC3=C2N=CN=C3NCC4=CC=CC=C4)O)O
D00024,CNC(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCOCC4)OC
D00025,C1CC(OC1)N2C=NC3=C2N=CN=C3N
D00026,CS(=O)(=O)C1=CC=CC(=C1)C2=CC(=NC=N2)N3C[C@@H]([C@H](C3)N)C4=CC(=C(C=C4F)F)F
D00027,CC(=O)N[C@@H](CCSC)C(=O)O
D00028,C1=CC(=C(C(=C1)F)NC(=S)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F
D00029,CCN(CC)C(=O)N[C@@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
D00030,CC1(C(=O)N(C(=O)O1)C)C
D00031,C(C(C(=O)O)O)C(=O)O
D00032,CC1(C(=O)NC2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)C
D00033,C(CO)[C@@H](C(=O)O)N
D00034,C[C@@H]([C@H](C(=O)O)N)C(=O)O
D00035,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C)F
D00036,C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br
D00037,[Fe]
D00038,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.N.[Fe+3]
D00039,C1=CC=C(C=C1)C=O
D00040,CC(CC(=O)O)O
D00041,CC(=O)[O-].CC(=O)[O-].[Ni+2]
D00042,C1=C2C(=CC(=C1Cl)Cl)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
D00043,C1CN(CCN1)C2=CC3=C(CNC(=O)N3C4=C(C=CC=C4Cl)Cl)C(=C2)C5=C(C=C(C=C5)F)F
D00044,C(C(C(CO)O)O)O
D00045,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
D00046,C[C@@H](/C=C/C=C/C(C)C)C1=NC(=CS1)C2=NC(=CS2)/C=C/[C@@H]([C@@H](C)/C(=C\C(=O)N)/OC)OC
D00047,CC(=O)O.C[Hg]
D00048,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O
D00049,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N
D00050,C(C(C(=O)O)O)O
D00051,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O
D00052,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CCC(=O)O)O
D00053,CC(CC1=CC=C(C=C1)O)NC
D00054,C(C(=O)[O-])(C(=O)[O-])O
D00055,C(C(=O)[O-])F
D00056,C1=NC2=C(N1)C(=NC=N2)N
D00057,C(=O)(C(=O)[O-])[O-].[NH4+].[NH4+]
D00058,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
D00059,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
D00060,CC1=C(SC(=N1)NC(=O)C)C2=CC(=C(C=C2)Cl)S(=O)(=O)NCCO
D00061,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl
D00062,CN1C(CC(C1=O)O)C2=CN=CC=C2
D00063,C1COCCN1C2=CC(=CC(=C2)C(=O)NC3=CC4=C(C=C3)NC=C4)F
D00064,C1C(=O)NCC(=O)N1
D00065,[Zn]
D00066,CN(C)CCOC(=O)COC1=CC=C(C=C1)Cl
D00067,C1=C(NC(=O)N=C1)N
D00068,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C
D00069,C1CN[C@@H]1C(=O)O
D00070,C(C(=O)[O-])Br
D00071,CC(CCCN)(C(=O)O)N
D00072,CCCCCCCC(=O)O
D00073,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O
D00074,C1=CC(=CC=C1[C@H](CO)O)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl
D00075,C1=C(NC=N1)CC(CO)N
D00076,C1CC(OC1)N2C=C(C(=O)NC2=O)F
D00077,C1=CC(=CC=C1C(=O)O)F
D00078,C(CN)CO
D00079,CCCN1C(=NC(=C1C2=NC(=NC=C2)NC3CCCCC3)C4=CC(=C(C=C4)Cl)Cl)C5CCNCC5
D00080,C1=CC=C(C=C1)CC(=O)N
D00081,C1=CC(=CC(=C1)C#N)C#N
D00082,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O
D00083,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
D00084,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C
D00085,CCC(C)N1C(=O)C(=C(NC1=O)C)Br
D00086,C1=CC(=C(C(=C1)F)C2=CC=C(C=C2)C(=O)O)F
D00087,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(CP(=O)(O)O)O)O)O
D00088,CCCCCC(=O)O
D00089,C(C(C(C(=O)CO)O)O)O
D00090,C1=C(C=C(C(=C1O)O)O)C(=O)O
D00091,C(CC(=O)N)C(=O)C(=O)O
D00092,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O
D00093,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CSCCC(C(=O)O)N)O)O
D00094,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)Br)CO)O
D00095,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC=C2C(F)(F)F
D00096,C(CN)C(C(=O)O)N
D00097,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C3=NN=C(O3)NCCN
D00098,COC(=O)C1=CC(=C(C(=C1)O)O)O
D00099,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCCC[C@@H]3C[C@H]2C(=O)O
D00100,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
D00101,CC(C)C(C(C)(C)CO)O
D00102,CSCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O
D00103,C1=CC2=C(C=CC=C2S(=O)(=O)N)C(=C1)O
D00104,CC1[C@@H](C(C([C@H](O1)O[C@H]2C[C@H]([C@@]3(C4C(CC[C@@]3(C2)O)[C@]5(CCC([C@]5(CC4O)C)C6CC(=O)OC6)O)CO)O)O)O)O
D00105,CC(CC=O)O
D00106,CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC
D00107,CC(C)OP(=O)(OC(C)C)F
D00108,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
D00109,C(CS)O
D00110,C1C(CNC2=C1C(=O)N=C(N2)N)CCC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
D00111,C1=CC=C2C(=C1)C(=NN2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)N
D00112,COC1=C2C(=CNC2=NC=C1)C3=NC(=NC=C3)N
D00113,C1CCC(C1)(C(=O)O)N
D00114,CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)O)O)O)O
D00115,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
D00116,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O
D00117,CC1=C(C=C2C(=C1)C(CCC2(C)C)(C)C)C3(CC3)C4=NC=C(C=C4)C(=O)O
D00118,CC1=CC(=NN1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
D00119,COC1=CC\2=C(C=C1)NC(=O)/C2=C\C3=CN=CN3
D00120,CC1=C(C(=O)NO1)C[C@@H](C(=O)O)N
D00121,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
D00122,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)O)O)O)O)O
D00123,CCCC(C(=O)O)N
D00124,CC(C)C=O
D00125,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
D00126,C1=CC(=CC=C1CO)O
D00127,C1=CC=C2C(=C1)C(=O)/C(=C/3\C4=C(C=CC(=C4)S(=O)(=O)O)NC3=O)/N2
D00128,CC1=CNC2=CC=CC=C12
D00129,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32
D00130,C1=CN=C2C(=N1)C=NC=N2
D00131,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+]
D00132,COC(=O)C(C1CCCCN1)C2=CC=CC=C2
D00133,C[C@H]1CNCCCN1S(=O)(=O)C2=CC=CC3=CN=CC(=C32)C
D00134,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
D00135,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
D00136,CC1CC2C3CCC4=CC(=O)C=CC4(C3C(=O)CC2([C@]1(C(=O)CO)O)C)C
D00137,C(C(=O)C(=O)O)O
D00138,CS(=O)(=O)OCCCCOS(=O)(=O)C
D00139,C1=CC(=CC(=C1)N)C(=O)O
D00140,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42
D00141,CC(C)C(C(=O)O)N
D00142,CC(C)C(C(=O)O)NC
D00143,NS(=O)(=O)O
D00144,CC(C(C)O)O
D00145,C1CNCCC1(C2=CC=C(C=C2)C3=CNN=C3)C4=CC=C(C=C4)Cl
D00146,C(CC(=O)O)C(=O)C(=O)O
D00147,COC1C(C(C(C(O1)CO)O)O)O
D00148,CC(C)CN1C2=C(C(=O)N(C1=O)C)NC=N2
D00149,C([C@@H](C(=O)O)N)OP(=O)(O)O
D00150,C1COCCN1CCCS(=O)(=O)O
D00151,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
D00152,CCOC1=CC=CC=C1OCCN[C@H](C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N
D00153,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)O)O
D00154,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N
D00155,C1CC2CCC3C4CCC(CC4CCC3C2C1)O
D00156,C1C(C(OC1N2C=C(C(=O)NC2=O)Br)COP(=O)(O)O)O
D00157,CN(C)N
D00158,CC1=NC2=CC=CC=C2C(=C1)COC3=CC=C(C=C3)C[C@@]4(C[C@@H]4C(=O)NO)C(=O)OC
D00159,CC(C(=O)O)C(=O)O
D00160,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC
D00161,C1=NC(=O)C2=C(N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O
D00162,CC(C(=O)O)N
D00163,CC(C)C(CC(=O)O)(C(=O)O)O
D00164,C(C(C(=O)O)O)(C(=O)O)N
D00165,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
D00166,CSCC[C@@H](C(=O)O)NC=O
D00167,CCC(C)C
D00168,C(CCN)CC(=O)O
D00169,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
D00170,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
D00171,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C5N=CN=C6N)O)O)O)O)O
D00172,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)OP(=O)(O)O)O)O)O)C(=O)N
D00173,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
D00174,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
D00175,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
D00176,C(CC(C(=O)O)N)CN
D00177,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC
D00178,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C
D00179,C(CO)NN
D00180,C1C[C@H](NC1)C(=O)O
D00181,CC(CC1=CC=CC=C1)NC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O
D00182,C(C(=O)O)C(=O)O
D00183,CCC(C(=O)O)O
D00184,CCCCCCCCCCCCCCCCO
D00185,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O
D00186,C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O
D00187,CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C
D00188,CC(C)CC(C(=O)O)N
D00189,CCCC(=O)NC1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@H]4[C@H](O3)COP(=O)(O4)O)OC(=O)CCC
D00190,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O
D00191,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O
D00192,CCCCCCCCCC[N+](C)(C)[O-]
D00193,C#CCN(CC1=CC2=C(C=C1)NC(=NC2=O)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
D00194,C(CC(C(=O)O)N)CC(=O)O
D00195,C1=C(C=C(C(=C1I)O)I)[N+](=O)[O-]
D00196,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
D00197,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O
D00198,C(CO)O
D00199,COCCCCCCCCCCCC(=O)O
D00200,CC(=O)NC
D00201,C1C(C(C(C1N2C=NC3=C2N=CN=C3N)O)O)CO
D00202,C1=CC=C(C=C1)CN2C=CN=C2
D00203,CN1C(=CC(=N1)C2=CC=CC=C2)NS(=O)(=O)O
D00204,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC
D00205,C(C(C(=O)C(=O)O)C(=O)O)C(=O)O
D00206,CC1=C(SC(=N1)C)C2=NC(=NC=C2)NC3=CC=C(C=C3)C(F)(F)F
D00207,CN(C)C=O
D00208,C(CC(=O)[O-])C(=O)[O-].[Na+].[Na+]
D00209,CCCCCCCC=O
D00210,C(CCN)C[C@@H](C(=O)O)N
D00211,C1=CC(=CC=C1CC(C(=O)O)N)O
D00212,C1=C(C(=O)NC(=O)N1C2C(C(C(O2)CO)O)O)F
D00213,CN(C)C(=NCCC[C@@H](C(=O)O)N)N
D00214,C1C(=O)NC=N1
D00215,CC(C)NCCO
D00216,CC(CCO)O
D00217,C(C(C(=O)O)F)[NH3+].[Cl-]
D00218,C[C@@H](C1=CC=CC=C1)NC2=NC=CC(=N2)C3=C(N=C(N3C)C4CCNCC4)C5=CC(=CC=C5)C(F)(F)F
D00219,C(CC(C(=O)O)N)C=O
D00220,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
D00221,C1=CC2=C(C=CC3=C2C(=C1)C(=O)NC3=O)N
D00222,CN1CCC2=CC=CC3=C2[C@H]1CC4=C3C(=C(C=C4)O)O
D00223,CC(C(=O)O)C(CC(=O)O)(C(=O)O)O
D00224,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
D00225,C(CSSC[C@@H](C(=O)O)N)O
D00226,C(=O)(C(=O)[O-])[O-].[Ce].[Ce]
D00227,CC(CC1=CC2=C(C=C1)OCO2)NC
D00228,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O
D00229,CC(C)CCCC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C
D00230,C(CC(C(=O)O)N)CC(C(=O)O)N
D00231,CSCC[C@H](C(=O)O)N
D00232,CCCC1=C(C=CC2=C1ON=C2C(F)(F)F)OCCCOC3=CC4=C(C=C3)N(C=C4)CC(=O)O
D00233,CSCCC(C(=O)O)N
D00234,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C
D00235,C1CN2CCC1C(C2)CN3C4=CC=CC=C4SC5=CC=CC=C53
D00236,CCC1=CC(=C(C=C1OC)CC(C)N)OC
D00237,C[C@@]1(C(=O)N(C(=O)O1)NC2=CC=CC=C2)C3=CC=C(C=C3)OC4=CC=CC=C4
D00238,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O
D00239,CC(=O)C
D00240,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)[C@@H](C4=CC=CC=C4)O)SC2)C(=O)O
D00241,CCCCCCCCC(=O)O
D00242,CCC(C)OC(=O)C
D00243,C1=CC=C2C(=C1)C(=CC=N2)C3=C(NN=C3)C4=CC=CC=N4
D00244,C1CC(=O)NC1C(=O)O
D00245,CC(C(=O)O)O
D00246,CC1=CC=CC=C1N
D00247,CC1=C(C=C(C=C1)C2=NN=C(O2)C)C3=CC=C(C=C3)C(=O)NC4=CC=CC(=C4)C#N
D00248,C(CCC(=O)O)CC(=O)O
D00249,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)F)O)O
D00250,C(C=O)O
D00251,CC(C)C
D00252,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
D00253,CCOC(=O)C1=C(N(N=C1C)C2=CC(=CC=C2)[N+](=O)[O-])C
D00254,C1=CC=C2C(=C1)NC=N2
D00255,C(C(C(C(C(CO)O)O)O)O)C(=O)C(=O)O
D00256,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O
D00257,CC1=CC2=C(C=C1S(=O)(=O)N3CCN(CC3)C)S(=O)(=O)N[C@H](N2)C4CCCC4
D00258,C([C@@H](C(=O)O)N)SO
D00259,CC(=O)C1=C[N+](=CC=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O
D00260,CS(=O)(=O)O
D00261,C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O
D00262,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
D00263,C(C(C(C(C(CO)O)O)O)O)O
D00264,C1CC(=O)OC1
D00265,C(CO)C(C(=O)O)N
D00266,CC(=O)OC(C)(C)C
D00267,CCCCCCCCCCC=O
D00268,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1
D00269,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(C(=O)O)O)O
D00270,CCCCCCC(=O)O
D00271,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
D00272,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl
D00273,C1=CC=C2C(=C1)C3=C(C4=CC=CC=C4C3=O)N(C2=O)CCCC(=O)O
D00274,CC(=O)C(=O)O
D00275,CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O
D00276,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO
D00277,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C
D00278,CC1=C(C=C(C=C1)C2=NN=C(O2)C)C3=CC=C(C=C3)C(=O)NCC4CC4
D00279,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
D00280,CC(=CCOP(=O)(O)OP(=O)(O)O)C
D00281,CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O
D00282,CCCCCCCCN
D00283,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
