drug_id,protein_id,interaction,split
D00001,P00001,0,train
D00002,P00002,0,train
D00003,P00003,0,train
D00004,P00004,1,train
D00005,P00005,1,train
D00006,P00006,0,train
D00007,P00007,1,train
D00008,P00008,0,train
D00009,P00009,0,train
D00010,P00010,0,train
D00011,P00011,0,train
D00012,P00012,0,train
D00013,P00013,1,train
D00014,P00014,1,train
D00015,P00015,0,train
D00016,P00016,0,train
D00017,P00017,1,train
D00018,P00018,0,train
D00019,P00019,1,train
D00020,P00020,1,train
D00021,P00021,0,train
D00022,P00020,1,train
D00023,P00022,0,train
D00022,P00023,1,train
D00024,P00020,1,train
D00025,P00024,0,train
D00026,P00025,1,train
D00027,P00026,1,train
D00028,P00020,1,train
D00029,P00019,1,train
D00030,P00027,0,train
D00031,P00028,0,train
D00032,P00020,1,train
D00022,P00029,1,train
D00033,P00030,0,train
D00022,P00004,1,train
D00022,P00031,1,train
D00034,P00032,1,train
D00035,P00033,0,train
D00036,P00034,1,train
D00037,P00035,1,train
D00038,P00036,0,train
D00039,P00037,0,train
D00040,P00016,0,train
D00033,P00038,0,train
D00041,P00039,0,train
D00042,P00040,1,train
D00043,P00020,1,train
D00044,P00041,0,train
D00003,P00042,0,train
D00045,P00019,1,train
D00022,P00043,1,train
D00046,P00044,1,train
D00047,P00045,0,train
D00048,P00046,0,train
D00049,P00047,0,train
D00050,P00048,0,train
D00005,P00049,1,train
D00051,P00050,0,train
D00052,P00051,0,train
D00053,P00022,0,train
D00054,P00052,0,train
D00005,P00053,1,train
D00055,P00054,0,train
D00056,P00055,1,train
D00057,P00056,0,train
D00058,P00019,1,train
D00022,P00020,1,train
D00059,P00028,1,train
D00060,P00057,1,train
D00061,P00058,1,train
D00062,P00059,0,train
D00063,P00020,1,train
D00064,P00060,0,train
D00005,P00061,1,train
D00005,P00062,1,train
D00065,P00063,1,train
D00005,P00064,1,train
D00066,P00065,0,train
D00067,P00066,0,train
D00068,P00019,1,train
D00069,P00067,0,train
D00070,P00068,0,train
D00071,P00030,0,train
D00072,P00069,1,train
D00005,P00070,1,train
D00073,P00071,0,train
D00074,P00072,1,train
D00075,P00073,0,train
D00076,P00074,0,train
D00005,P00075,1,train
D00077,P00076,0,train
D00078,P00077,0,train
D00016,P00078,0,train
D00079,P00079,1,train
D00072,P00080,1,train
D00080,P00081,0,train
D00081,P00082,0,train
D00082,P00083,0,train
D00083,P00019,1,train
D00084,P00084,0,train
D00085,P00085,0,train
D00022,P00083,1,train
D00086,P00086,1,train
D00040,P00087,0,train
D00087,P00088,0,train
D00088,P00089,0,train
D00089,P00090,0,train
D00051,P00091,0,train
D00090,P00092,0,train
D00065,P00093,1,train
D00065,P00094,1,train
D00091,P00095,0,train
D00065,P00096,1,train
D00092,P00063,0,train
D00093,P00097,0,train
D00094,P00098,0,train
D00078,P00099,0,train
D00065,P00100,1,train
D00006,P00101,0,train
D00095,P00086,1,train
D00025,P00102,0,train
D00096,P00103,0,train
D00097,P00020,1,train
D00098,P00104,0,train
D00099,P00105,1,train
D00100,P00019,1,train
D00005,P00106,1,train
D00101,P00107,0,train
D00102,P00108,0,train
D00103,P00020,1,train
D00104,P00109,0,train
D00105,P00110,0,train
D00025,P00111,0,train
D00106,P00019,1,train
D00107,P00112,0,train
D00108,P00019,1,train
D00022,P00113,1,train
D00109,P00073,1,train
D00110,P00114,0,train
D00111,P00020,1,train
D00112,P00115,1,train
D00113,P00116,0,train
D00114,P00117,0,train
D00115,P00020,1,train
D00116,P00020,1,train
D00115,P00020,1,train
D00117,P00118,1,train
D00041,P00119,0,train
D00118,P00020,1,train
D00119,P00020,1,train
D00120,P00120,1,train
D00121,P00118,1,train
D00061,P00019,1,train
D00101,P00025,0,train
D00122,P00121,0,train
D00123,P00122,0,train
D00124,P00123,0,train
D00065,P00118,1,train
D00005,P00124,1,train
D00109,P00113,1,train
D00003,P00125,0,train
D00017,P00126,1,train
D00125,P00127,1,train
D00126,P00128,0,train
D00127,P00072,1,train
D00050,P00129,0,train
D00102,P00019,0,train
D00128,P00130,0,train
D00129,P00011,0,train
D00130,P00131,0,train
D00101,P00132,0,train
D00109,P00133,1,train
D00022,P00105,1,train
D00131,P00134,0,train
D00132,P00135,1,train
D00005,P00136,1,train
D00133,P00137,1,train
D00028,P00020,1,train
D00134,P00138,0,train
D00135,P00139,1,train
D00136,P00140,0,train
D00137,P00141,0,train
D00138,P00142,0,train
D00139,P00143,1,train
D00140,P00019,1,train
D00141,P00144,0,train
D00113,P00145,0,train
D00142,P00146,0,train
D00005,P00147,1,train
D00143,P00148,0,train
D00144,P00149,0,train
D00145,P00020,1,train
D00146,P00150,1,train
D00122,P00151,0,train
D00147,P00104,0,train
D00148,P00152,1,train
D00065,P00105,1,train
D00149,P00153,1,train
D00150,P00154,1,train
D00151,P00019,1,train
D00152,P00019,1,train
D00153,P00155,1,train
D00154,P00156,0,train
D00155,P00157,0,train
D00156,P00158,0,train
D00157,P00159,0,train
D00158,P00160,1,train
D00159,P00015,0,train
D00071,P00161,0,train
D00160,P00162,0,train
D00161,P00163,0,train
D00162,P00164,0,train
D00163,P00165,0,train
D00149,P00166,1,train
D00132,P00135,1,train
D00164,P00167,0,train
D00165,P00168,1,train
D00113,P00169,0,train
D00093,P00170,0,train
D00166,P00044,1,train
D00167,P00171,0,train
D00168,P00172,0,train
D00169,P00173,1,train
D00041,P00174,0,train
D00005,P00175,1,train
D00170,P00019,1,train
D00171,P00176,1,train
D00172,P00177,0,train
D00005,P00178,1,train
D00173,P00179,0,train
D00174,P00019,1,train
D00065,P00180,1,train
D00175,P00019,1,train
D00176,P00181,0,train
D00177,P00182,1,train
D00065,P00183,1,train
D00178,P00184,0,train
D00179,P00185,0,train
D00065,P00186,1,train
D00180,P00187,1,train
