drug_id,smiles
D00000,index
D00001,0
D00002,1
D00003,2
D00004,3
D00005,4
D00006,5
D00007,6
D00008,7
D00009,8
D00010,9
D00011,10
D00012,11
D00013,12
D00014,13
D00015,14
D00016,15
D00017,16
D00018,17
D00019,18
D00020,19
D00021,20
D00022,21
D00023,22
D00024,23
D00025,24
D00026,25
D00027,26
D00028,27
D00029,28
D00030,29
D00031,30
D00032,31
D00033,32
D00034,33
D00035,34
D00036,35
D00037,36
D00038,37
D00039,38
D00040,39
D00041,40
D00042,41
D00043,42
D00044,43
D00045,44
D00046,45
D00047,46
D00048,47
D00049,48
D00050,49
D00051,50
D00052,51
D00053,52
D00054,53
D00055,54
D00056,55
D00057,56
D00058,57
D00059,58
D00060,59
D00061,60
D00062,61
D00063,62
D00064,63
D00065,64
D00066,65
D00067,66
D00068,67
D00069,68
D00070,69
D00071,70
D00072,71
D00073,72
D00074,73
D00075,74
D00076,75
D00077,76
D00078,77
D00079,78
D00080,79
D00081,80
D00082,81
D00083,82
D00084,83
D00085,84
D00086,85
D00087,86
D00088,87
D00089,88
D00090,89
D00091,90
D00092,91
D00093,92
D00094,93
D00095,94
D00096,95
D00097,96
D00098,97
D00099,98
D00100,99
D00101,100
D00102,101
D00103,102
D00104,103
D00105,104
D00106,105
D00107,106
D00108,107
D00109,108
D00110,109
D00111,110
D00112,111
D00113,112
D00114,113
D00115,114
D00116,115
D00117,116
D00118,117
D00119,118
D00120,119
D00121,120
D00122,121
D00123,122
D00124,123
D00125,124
D00126,125
D00127,126
D00128,127
D00129,128
D00130,129
D00131,130
D00132,131
D00133,132
D00134,133
D00135,134
D00136,135
D00137,136
D00138,137
D00139,138
D00140,139
D00141,140
D00142,141
D00143,142
D00144,143
D00145,144
D00146,145
D00147,146
D00148,147
D00149,148
D00150,149
D00151,150
D00152,151
D00153,152
D00154,153
D00155,154
D00156,155
D00157,156
D00158,157
D00159,158
D00160,159
D00161,160
D00162,161
D00163,162
D00164,163
D00165,164
D00166,165
D00167,166
D00168,167
D00169,168
D00170,169
D00171,170
D00172,171
D00173,172
D00174,173
D00175,174
D00176,175
D00177,176
D00178,177
D00179,178
D00180,179
D00181,180
D00182,181
D00183,182
D00184,183
D00185,184
D00186,185
D00187,186
D00188,187
D00189,188
D00190,189
D00191,190
D00192,191
D00193,192
D00194,193
D00195,194
D00196,195
D00197,196
D00198,197
D00199,198
D00200,199
D00201,200
D00202,201
D00203,202
D00204,203
D00205,204
D00206,205
D00207,206
D00208,207
D00209,208
D00210,209
D00211,210
D00212,211
D00213,212
D00214,213
D00215,214
D00216,215
D00217,216
D00218,217
D00219,218
D00220,219
D00221,220
D00222,221
D00223,222
D00224,223
D00225,224
D00226,225
D00227,226
D00228,227
D00229,228
D00230,229
D00231,230
D00232,231
D00233,232
D00234,233
D00235,234
D00236,235
D00237,236
D00238,237
D00239,238
D00240,239
D00241,240
D00242,241
D00243,242
D00244,243
D00245,244
D00246,245
D00247,246
D00248,247
D00249,248
D00250,249
D00251,250
D00252,251
D00253,252
D00254,253
D00255,254
D00256,255
D00257,256
D00258,257
D00259,258
D00260,259
D00261,260
D00262,261
D00263,262
D00264,263
D00265,264
D00266,265
D00267,266
D00268,267
D00269,268
D00270,269
D00271,270
D00272,271
D00273,272
D00274,273
D00275,274
D00276,275
D00277,276
D00278,277
D00279,278
D00280,279
D00281,280
D00282,281
D00283,282
D00284,283
D00285,284
D00286,285
D00287,286
D00288,287
D00289,288
D00290,289
D00291,290
D00292,291
D00293,292
D00294,293
D00295,294
D00296,295
D00297,296
D00298,297
D00299,298
D00300,299
D00301,300
D00302,301
D00303,302
D00304,303
D00305,304
D00306,305
D00307,306
D00308,307
D00309,308
D00310,309
D00311,310
D00312,311
D00313,312
D00314,313
D00315,314
D00316,315
D00317,316
D00318,317
D00319,318
D00320,319
D00321,320
D00322,321
D00323,322
D00324,323
D00325,324
D00326,325
D00327,326
D00328,327
D00329,328
D00330,329
D00331,330
D00332,331
D00333,332
D00334,333
D00335,334
D00336,335
D00337,336
D00338,337
D00339,338
D00340,339
D00341,340
D00342,341
D00343,342
D00344,343
D00345,344
D00346,345
D00347,346
D00348,347
D00349,348
D00350,349
D00351,350
D00352,351
D00353,352
D00354,353
D00355,354
D00356,355
D00357,356
D00358,357
D00359,358
D00360,359
D00361,360
D00362,361
D00363,362
D00364,363
D00365,364
D00366,365
D00367,366
D00368,367
D00369,368
D00370,369
D00371,370
D00372,371
D00373,372
D00374,373
D00375,374
D00376,375
D00377,376
D00378,377
D00379,378
D00380,379
D00381,380
D00382,381
D00383,382
D00384,383
D00385,384
D00386,385
D00387,386
D00388,387
D00389,388
D00390,389
D00391,390
D00392,391
D00393,392
D00394,393
D00395,394
D00396,395
D00397,396
D00398,397
D00399,398
D00400,399
D00401,400
D00402,401
D00403,402
D00404,403
D00405,404
D00406,405
D00407,406
D00408,407
D00409,408
D00410,409
D00411,410
D00412,411
D00413,412
D00414,413
D00415,414
D00416,415
D00417,416
D00418,417
D00419,418
D00420,419
D00421,420
D00422,421
D00423,422
D00424,423
D00425,424
D00426,425
D00427,426
D00428,427
D00429,428
D00430,429
D00431,430
D00432,431
