drug_id,protein_id,interaction,split
D00000,P00000,smiles,train
D00001,P00001,0,train
D00002,P00002,1,train
D00003,P00003,2,train
D00004,P00004,3,train
D00005,P00005,4,train
D00006,P00006,5,train
D00007,P00007,6,train
D00008,P00008,7,train
D00009,P00009,8,train
D00010,P00010,9,train
D00011,P00011,10,train
D00012,P00012,11,train
D00013,P00013,12,train
D00014,P00014,13,train
D00015,P00015,14,train
D00016,P00016,15,train
D00017,P00017,16,train
D00018,P00018,17,train
D00019,P00019,18,train
D00020,P00020,19,train
D00021,P00021,20,train
D00022,P00022,21,train
D00023,P00023,22,train
D00024,P00024,21,train
D00025,P00025,23,train
D00026,P00026,24,train
D00027,P00027,25,train
D00028,P00028,26,train
D00029,P00029,27,train
D00030,P00030,28,train
D00031,P00031,29,train
D00032,P00032,30,train
D00033,P00033,31,train
D00034,P00034,21,train
D00035,P00035,32,train
D00036,P00036,21,train
D00037,P00037,21,train
D00038,P00038,33,train
D00039,P00039,34,train
D00040,P00040,35,train
D00041,P00041,36,train
D00042,P00042,37,train
D00043,P00043,38,train
D00044,P00044,39,train
D00045,P00045,32,train
D00046,P00046,40,train
D00047,P00047,41,train
D00048,P00048,42,train
D00049,P00049,43,train
D00050,P00050,2,train
D00051,P00051,44,train
D00052,P00052,21,train
D00053,P00053,45,train
D00054,P00054,46,train
D00055,P00055,47,train
D00056,P00056,48,train
D00057,P00057,49,train
D00058,P00058,4,train
D00059,P00059,50,train
D00060,P00060,51,train
D00061,P00061,52,train
D00062,P00062,53,train
D00063,P00063,4,train
D00064,P00064,54,train
D00065,P00065,55,train
D00066,P00066,56,train
D00067,P00067,57,train
D00068,P00068,21,train
D00069,P00069,58,train
D00070,P00070,59,train
D00071,P00071,60,train
D00072,P00072,61,train
D00073,P00073,62,train
D00074,P00074,63,train
D00075,P00075,4,train
D00076,P00076,4,train
D00077,P00077,64,train
D00078,P00078,4,train
D00079,P00079,65,train
D00080,P00080,66,train
D00081,P00081,67,train
D00082,P00082,68,train
D00083,P00083,69,train
D00084,P00084,70,train
D00085,P00085,71,train
D00086,P00086,4,train
D00087,P00087,72,train
D00088,P00088,73,train
D00089,P00089,74,train
D00090,P00090,75,train
D00091,P00091,4,train
D00092,P00092,76,train
D00093,P00093,77,train
D00094,P00094,15,train
D00095,P00095,78,train
D00096,P00096,71,train
D00097,P00097,79,train
D00098,P00098,80,train
D00099,P00099,81,train
D00100,P00100,82,train
D00101,P00101,83,train
D00102,P00102,84,train
D00103,P00103,21,train
D00104,P00104,85,train
D00105,P00105,39,train
D00106,P00106,86,train
D00107,P00107,87,train
D00108,P00108,88,train
D00109,P00109,50,train
