drug_id,smiles
D00000,CC(C)(CC1=CC=CC=C1)N
D00001,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O
D00002,CN(C)CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
D00003,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
D00004,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
D00005,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.[Fe+4]
D00006,CCCC(=O)OC(COC(=O)CC)COP(=O)(O)OCC(C(=O)O)N
D00007,CC=C(C1=CC=C(C=C1)O)C(=CC)C2=CC=C(C=C2)O
D00008,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
D00009,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1
D00010,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F
D00011,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
D00012,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C
D00013,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O
D00014,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
D00015,C1=CC=C(C=C1)CC(C(=O)O)N
D00016,"CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC
CCCCNC(=O)C1=CC=C(C=C1)N2CCOCC2"
D00017,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
D00018,C1CN(CC1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5
D00019,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C
D00020,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O
D00021,CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C
D00022,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N
D00023,C(C(C(=O)O)N)C(=O)O
D00024,CC1(C(N2C(S1)C(C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C
