protein_id,sequence
P00000,P31645
P00001,P05327
P00002,P18507
P00003,O43776
P00004,P05412
P00005,Q05901
P00006,Q9UG56
P00007,Q69600
P00008,P43702
P00009,P28476
P00010,P04049
P00011,P54687
P00012,Q00975
P00013,Q13126
P00014,P41595
P00015,P0A7J6
P00016,P11229
P00017,Q8IVH4
P00018,P20309
P00019,Q96S86
P00020,P00491
P00021,P52569
P00022,Q14524
P00023,Q8N8R3
P00024,C1KC03
P00025,Q16873
P00026,Q09470
P00027,Q7L3T8
P00028,O14717
P00029,P54577
P00030,Q9H598
P00031,P47895
P00032,P31644
P00033,Q2TU84
P00034,Q9H3N8
P00035,P16410
P00036,P08588
P00037,Q96PR1
P00038,Q9UHI5
P00039,P19440
P00040,P28161
P00041,P07098
P00042,Q8DR59
P00043,P16410
P00044,Q16445
P00045,P36021
P00046,P20648
P00047,P30711
P00048,P21430
P00049,P21554
P00050,P41145
P00051,P48443
P00052,P05771
P00053,P42330
P00054,P18505
P00055,Q96A70
P00056,P21728
P00057,Q09470
P00058,P00966
P00059,Q9UMX2
P00060,P35354
P00061,P00451
P00062,Q75Y35
P00063,Q9BYV1
P00064,Q09470
P00065,Q14003
P00066,P14735
P00067,O95180
P00068,Q92769
P00069,Q9UHW9
P00070,P28222
P00071,Q9Y5N1
P00072,P14416
P00073,P21397
P00074,P11229
P00075,P23945
P00076,P48169
P00077,O15269
P00078,P07550
P00079,O60733
P00080,P30536
P00081,P42685
P00082,P14416
P00083,O60896
P00084,P41145
P00085,P28222
P00086,P18825
P00087,P23763
P00088,P35354
P00089,P31645
P00090,P25100
P00091,P48167
P00092,P26639
P00093,P48061
P00094,O75891
P00095,P23378
P00096,Q07912
P00097,Q9BZV3
P00098,P18031
P00099,O95573
P00100,P47869
P00101,P54289
P00102,P28223
P00103,P38435
P00104,P07510
P00105,Q99250
P00106,P47870
P00107,O15427
P00108,P16066
P00109,P03886
P00110,Q13002
P00111,P62594
P00112,P35354
P00113,Q07343
P00114,P07948
P00115,P15382
P00116,P07550
P00117,Q13509
P00118,Q14432
P00119,P46597
P00120,P08913
P00121,P35348
P00122,P08473
P00123,P07355
P00124,Q8TCU5
P00125,O15374
P00126,P54289
P00127,Q03013
P00128,Q01668
P00129,Q7L0J3
P00130,P28223
P00131,P04181
P00132,P78352
P00133,Q9QNF7
P00134,P51843
P00135,P31645
P00136,P23219
P00137,Q969I3
P00138,O00591
P00139,P02787
P00140,P16860
P00141,P07203
P00142,Q01959
P00143,P0A0N4
P00144,P34903
P00145,Q07343
P00146,Q92731
P00147,P01584
P00148,P11229
P00149,Q8IWT1
P00150,P78334
P00151,Q05603
P00152,P11229
P00153,Q9NXE4
P00154,P08908
P00155,Q9H2S1
P00156,P69905
P00157,Q9ULZ9
P00158,P04049
P00159,P06239
P00160,P14324
P00161,P16389
P00162,P48167
P00163,P56696
P00164,Q14524
P00165,Q8DNB6
P00166,P00533
P00167,Q9Y4U1
P00168,P41143
P00169,P12314
P00170,Q8TCU5
P00171,O67854
P00172,P09917
P00173,P00797
P00174,P0A7S3
P00175,P19440
P00176,P35368
P00177,P15056
P00178,P22570
P00179,P11168
P00180,P02918
P00181,Q14571
P00182,Q96HD9
P00183,P13551
P00184,P20309
P00185,Q9UIC8
P00186,P08373
P00187,P49763
P00188,P08172
P00189,Q15046
P00190,P36888
P00191,P32297
P00192,P09038
P00193,P01008
P00194,P35368
P00195,Q9NRF9
P00196,Q8N1C3
P00197,P94692
P00198,P41595
P00199,P41743
P00200,P35462
P00201,Q00266
P00202,P51170
P00203,P02794
P00204,P14867
P00205,P00797
P00206,Q01959
P00207,P11168
P00208,P10745
P00209,P06850
P00210,P34903
P00211,P05362
P00212,O15379
P00213,P04746
P00214,Q13698
P00215,Q9BZV2
P00216,P35498
P00217,P38038
P00218,P47870
P00219,O14717
P00220,P55157
