drug_id,smiles
D00000,CC(CN1C(=O)C2=C(C=C(C=C2)C(=O)OC)N=C1SC(C)C(=O)N3CCCC3)O
D00001,CC(C)(C)C1=CC=C(C=C1)SCC(=O)NNC(=O)C2=CC=CC=C2
D00002,CC(C(=O)NC1CCCC1)OC(=O)CN(C)S(=O)(=O)C2=CC=C(C=C2)F
D00003,COC1=CC=CC(=C1)C2=NOC(=N2)COC(=O)C3=CC4=C(C=C3)SCCC(=O)N4
D00004,CC(C(=O)NC1=CC=C(C=C1)F)OC(=O)COC2=CC=CC=C2Cl
D00005,CC(C(=O)NC1=CC=CC=C1OC)NC2=CC3=C(CCC3)C=C2
D00006,CCOC1=C(C=C2C(=C1)CC(O2)C)CNC(=O)CC3=CC=C(S3)S(=O)(=O)N4CCCC4
D00007,CC1=CC=C(C=C1)C2=NN(C=C2C(=O)OCC3=CC4=C(C=C3)OCO4)C5=CC=CC=C5
D00008,COC(=O)C1=CC2=C(C=C1)C(=O)N(C(=N2)SCC#N)CC3CCCO3
D00009,CC(C)CCC(=O)OCC(=O)NC1=CC(=CC=C1)S(=O)(=O)N(C)C2=CC=CC=C2
D00010,CC(C)C(C(=O)NC(=O)N)OC(=O)COC1=CC=CC=C1Cl
D00011,CC1CC2=CC=CC=C2N1C(=O)C(C)OC(=O)COC3=CC=CC=C3Cl
D00012,CCCOC1=C(C=C(C=C1Cl)C=CC(=O)OCC2=CC=C(C=C2)C#N)OC
D00013,CCC1=C(SC(=C1)C(=O)OCC(=O)NC2=CC(=CC=C2)[N+](=O)[O-])C
D00014,CC(C1=CC(=CC=C1)C(F)(F)F)NC(C)C(=O)NC2=CC=CC=C2OC
D00015,CC1(C(=O)N(C(=O)N1)CC2=CC(=CC=C2)Br)C3=CC=CC=C3
D00016,C1CSC2=C(C=C(C=C2)C(=O)OCC3=CC(=O)OC4=C3C=CC(=C4)O)NC1=O
D00017,CCCOC1=CC=CC=C1NC(=O)C2=CC3=NC=CN=C3C=C2
D00018,CC(C)(C)C1=CC=C(C=C1)SCN2C(=O)C3=CC=CC=C3N=N2
D00019,CC(C)(C)C1=CC=C(C=C1)SCC(=O)NN2C(=O)C3(CCCCC3)NC2=O
D00020,CC(C)C(C(=O)NC(=O)N)OC(=O)CNS(=O)(=O)C1=CC2=C(CCCC2)C=C1
D00021,C1=CC=C(C(=C1)OCC(=O)NC2=CC=CC(=C2)C#N)Br
D00022,CC1=CC(=CC(=C1)C(=O)NNC2=CC=CC=C2[N+](=O)[O-])C
D00023,CN(CC1=CC=CC=C1F)C(=O)NC2=CN=CC=C2
D00024,CCNC(=O)NC(=O)COC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)C
D00025,CC(C)(C)C1=CC=C(C=C1)SCC(=O)NC2=CC=C(C=C2)C(=O)N
