drug_id,protein_id,interaction
D00000,P00000,1
D00001,P00001,0
D00002,P00002,1
D00003,P00003,0
D00004,P00004,1
D00005,P00005,0
D00006,P00006,1
D00007,P00007,0
D00008,P00008,1
D00009,P00009,0
D00010,P00010,1
D00011,P00011,0
D00012,P00012,1
D00013,P00013,0
D00014,P00014,1
D00015,P00015,0
D00016,P00016,1
D00017,P00017,0
D00018,P00018,1
D00019,P00019,0
D00020,P00020,1
D00021,P00021,0
D00022,P00022,1
D00023,P00023,0
D00024,P00024,1
D00025,P00025,0
D00026,P00026,1
D00027,P00027,0
D00028,P00028,1
D00029,P00029,0
D00030,P00030,1
D00031,P00031,0
D00032,P00032,1
D00033,P00033,0
D00034,P00034,1
D00035,P00035,0
D00036,P00036,1
D00037,P00037,0
D00038,P00038,1
D00039,P00039,0
D00040,P00040,1
D00041,P00041,0
D00042,P00042,1
D00043,P00043,0
D00044,P00044,1
D00045,P00045,0
D00046,P00046,1
D00047,P00047,0
D00048,P00048,1
D00049,P00049,0
D00050,P00050,1
D00051,P00051,0
D00052,P00052,1
D00053,P00053,0
D00054,P00054,1
D00055,P00055,0
D00056,P00056,1
D00057,P00057,0
D00058,P00058,1
D00059,P00059,0
D00060,P00060,1
D00061,P00061,0
D00062,P00062,1
D00063,P00063,0
D00064,P00064,1
D00065,P00065,0
D00066,P00066,1
D00067,P00067,0
D00068,P00068,1
D00069,P00069,0
D00070,P00070,1
D00071,P00071,0
D00072,P00072,1
D00073,P00073,0
D00074,P00074,1
D00075,P00075,0
D00076,P00076,1
D00077,P00077,0
D00078,P00078,1
D00079,P00079,0
D00080,P00080,1
D00081,P00081,0
D00082,P00082,1
D00083,P00083,0
D00084,P00084,1
D00085,P00085,0
D00086,P00086,1
D00087,P00087,0
D00088,P00088,1
D00089,P00089,0
D00090,P00090,1
D00091,P00091,0
D00092,P00092,1
D00093,P00093,0
D00094,P00094,1
D00095,P00095,0
D00096,P00096,1
D00097,P00097,0
D00098,P00098,1
D00099,P00099,0
D00100,P00100,1
D00101,P00101,0
D00102,P00102,1
D00103,P00103,0
D00104,P00104,1
D00105,P00105,0
D00106,P00106,1
D00107,P00107,0
D00108,P00108,1
D00109,P00109,0
D00110,P00110,1
D00111,P00111,0
D00112,P00112,1
D00113,P00113,0
D00114,P00114,1
D00115,P00115,0
D00116,P00116,1
D00117,P00117,0
D00118,P00118,1
D00119,P00119,0
D00120,P00120,1
D00121,P00121,0
D00122,P00122,1
D00123,P00123,0
D00124,P00124,1
D00125,P00125,0
D00126,P00126,1
D00127,P00127,0
D00128,P00128,1
D00129,P00129,0
D00130,P00130,1
D00131,P00131,0
D00132,P00132,1
D00133,P00133,0
D00134,P00134,1
D00135,P00135,0
D00136,P00136,1
D00137,P00137,0
D00138,P00138,1
D00139,P00139,0
D00140,P00140,1
D00141,P00141,0
D00142,P00142,1
D00143,P00143,0
D00144,P00144,1
D00145,P00145,0
D00146,P00146,1
D00147,P00147,0
D00148,P00148,1
D00149,P00149,0
D00150,P00150,1
D00151,P00151,0
D00152,P00152,1
D00153,P00153,0
D00154,P00154,1
D00155,P00155,0
D00156,P00156,1
D00157,P00157,0
D00158,P00158,1
D00159,P00159,0
D00160,P00160,1
D00161,P00161,0
D00162,P00162,1
D00163,P00163,0
D00164,P00164,1
D00165,P00165,0
D00166,P00166,1
D00167,P00167,0
D00168,P00168,1
D00169,P00169,0
D00170,P00170,1
D00171,P00171,0
D00172,P00172,1
