protein_id,sequence
P00000,hsa:3643
P00001,hsa:84532
P00002,hsa:5142
P00003,hsa:131
P00004,hsa:5141
P00005,hsa:5096
P00006,hsa:1545
P00007,hsa:8192
P00008,hsa:5151
P00009,hsa:1846
P00010,hsa:1577
P00011,hsa:5126
P00012,hsa:1551
P00013,hsa:51601
P00014,hsa:1728
P00015,hsa:1056
P00016,hsa:240
P00017,hsa:247
P00018,hsa:1589
P00019,hsa:2261
P00020,hsa:29785
P00021,hsa:54576
P00022,hsa:2342
P00023,hsa:5052
P00024,hsa:1544
P00025,hsa:660
P00026,hsa:4914
P00027,hsa:5531
P00028,hsa:4129
P00029,hsa:2050
P00030,hsa:4919
P00031,hsa:3480
P00032,hsa:112
P00033,hsa:4881
P00034,hsa:4128
P00035,hsa:2242
P00036,hsa:8654
P00037,hsa:54578
P00038,hsa:1572
P00039,hsa:4953
P00040,hsa:2193
P00041,hsa:54577
P00042,hsa:49
P00043,hsa:5606
P00044,hsa:5158
P00045,hsa:657
P00046,hsa:216
P00047,hsa:53
P00048,hsa:2264
P00049,hsa:1852
P00050,hsa:22954
P00051,hsa:2046
P00052,hsa:11330
P00053,hsa:2806
P00054,hsa:1571
P00055,hsa:5547
P00056,hsa:8654
P00057,hsa:5597
P00058,hsa:5138
P00059,hsa:3055
P00060,hsa:5169
P00061,hsa:2879
P00062,hsa:5159
P00063,hsa:645
P00064,hsa:4482
P00065,hsa:1588
P00066,hsa:1544
P00067,hsa:1551
P00068,hsa:1990
P00069,hsa:7075
P00070,hsa:231
P00071,hsa:5147
P00072,hsa:5137
P00073,hsa:23436
P00074,hsa:1956
P00075,hsa:660
P00076,hsa:5050
P00077,hsa:4881
P00078,hsa:1576
P00079,hsa:4907
P00080,hsa:7153
P00081,hsa:5496
P00082,hsa:476
P00083,hsa:5146
P00084,hsa:765
P00085,hsa:4282
P00086,hsa:4759
P00087,hsa:5562
P00088,hsa:5167
P00089,hsa:5422
P00090,hsa:1573
P00091,hsa:133121
P00092,hsa:239
P00093,hsa:191
P00094,hsa:5742
P00095,hsa:279
P00096,hsa:6646
P00097,hsa:132
P00098,hsa:10846
P00099,hsa:7365
P00100,hsa:3156
P00101,hsa:1584
P00102,hsa:218
P00103,hsa:8398
P00104,hsa:8654
P00105,hsa:4594
P00106,hsa:27115
P00107,hsa:8972
P00108,hsa:7010
P00109,hsa:23430
P00110,hsa:1557
P00111,hsa:1020
P00112,hsa:6098
P00113,hsa:1445
P00114,hsa:1576
P00115,hsa:1589
P00116,hsa:1571
P00117,hsa:3817
P00118,hsa:64816
P00119,hsa:660
P00120,hsa:4051
P00121,hsa:5860
P00122,hsa:28972
P00123,hsa:4486
P00124,hsa:5754
P00125,hsa:5351
P00126,hsa:1610
P00127,hsa:27034
P00128,hsa:2047
P00129,hsa:1849
P00130,hsa:51302
P00131,hsa:5604
P00132,hsa:3990
P00133,hsa:10846
P00134,hsa:27115
P00135,hsa:5328
P00136,hsa:1545
P00137,hsa:1589
P00138,hsa:1551
P00139,hsa:2045
P00140,hsa:759
P00141,hsa:5148
P00142,hsa:4881
P00143,hsa:55359
P00144,hsa:1548
P00145,hsa:1589
P00146,hsa:8972
P00147,hsa:5167
P00148,hsa:8622
P00149,hsa:2193
P00150,hsa:1559
P00151,hsa:1645
P00152,hsa:5138
P00153,hsa:3735
P00154,hsa:759
P00155,hsa:51292
P00156,hsa:5550
P00157,hsa:4233
