drug_id,smiles
D00000,CCCCC[C@@H](/C=C/[C@H]1[C@H]2C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)OO2)OO
D00001,C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3
D00002,C1=CC2=C(NOC2=CC1=O)C3=CC(=C(C=C3O)O)Br
D00003,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC
D00004,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@]35C)F)O
D00005,C#C[C@H]1CC[C@H](N1C(=O)[C@H](C2CCCC2)N)CN
D00006,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
D00007,CC\1CCC(C/C1=C/C=C/2\CCCC3(C2CCC3C(C)/C=C/C(C)C(C)C)C)O
D00008,CCCN1C(=NC(=C1C2=NC(=NC=C2)NC3CCCCC3)C4=CC(=C(C=C4)Cl)Cl)C5CCNCC5
D00009,[Zn]
D00010,[Mg+2]
D00011,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N
D00012,C1=CC(=C(C=C1[C@@H]([C@H](C(=O)O)N)O)O)O
D00013,C(C(CO)O)O
D00014,C[NH2+]CC[C@@H](C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
D00015,CCC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)OCCO[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O)C)OCCO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)OCCO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C
D00016,CCCC1=NC2=C(C=C(C=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C5=NC6=CC=CC=C6N5C)C
D00017,C1=CC(=CC=C1C[C@@H](C(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=CN=C4N)O)O)N)O
D00018,C1=CC=C(C=C1)CNC2=C(N=CC=C2)N
D00019,C=O.C(=O)(N)N
D00020,C(C(C(=O)O)F)[NH3+].[Cl-]
D00021,C1=CC=C(C=C1)CNC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O
D00022,C1=NC2=C(N1)C(N=CN2)S.C1=NC2=C(N1)C(N=CN2)S.C1=NC2=C(N1)C(N=CN2)S.[Pd]
D00023,CC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)OC)O)O)OC4C(C(C(C(O4)CO)OC)O)OCC(C)(CO)O)O)O)O)O
D00024,CC(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O
D00025,OP([O-])[O-].[Zn+2]
D00026,CCC(C)C(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C(CC3=CN=CN3)NC(=O)C4CSSCC(C(=O)NC(C(=O)NC5CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N4)CC6=CC=CC=C6)CC(=O)N)CC(C)C)NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC5=O)CC(=O)N)CC(=O)O)CCSC)C(C)O)CC(=O)O)CCC(=O)O)CCC(=O)O)C(C)O)N
D00027,CCN(CC)C(=O)N[C@@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
D00028,[78Se]
D00029,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC
D00030,C[C@H](C1=CC(=NO1)[O-])[NH3+]
D00031,CCN1CCC[C@H]1CNC(=O)C2=C(C=CC(=C2OC)Br)OC
D00032,CC(=O)[C@H]1CCC2[C@@]1(CCC3C2CC[C@@H]4[C@@]3(CC[C@@](C4)(CC#C)O)C)C
D00033,CC(=O)[O-].CC(=O)[O-].O.O.O.[Pb+2]
D00034,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
D00035,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@H]34
D00036,C[C@@H]([C@H]1CCC2[C@@]1(CC[C@H]3[C@H]2CC(=O)[C@@H]4[C@@]3(C[C@H]([C@H](C4)O)O)C)C)[C@H]([C@@H]([C@@H](C)C(C)C)O)O
D00037,CCCN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CSC
D00038,C1=COC(=C1)CNC2=NC=NC3=C2N=CN3C4[C@@H]([C@@H]([C@H](O4)CO)O)O
D00039,C1=CC=C(C=C1)CNC2=CC=CC(=C2)C3=C(C(=C(S3)C(=O)O)OCC(=O)O)Br
D00040,C[S+](C)CCC(C(=O)O)N
D00041,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31
D00042,COC1=CC\2=C(C=C1)NC(=O)/C2=C\C3=CN=CN3
D00043,C(=O)=O.N#N.O=O.[Ar]
D00044,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
D00045,C1[C@H](O[C@H]([C@H]1F)N2C=NC3=C2N=CN=C3N)CO
D00046,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N
D00047,C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)(C)C(=O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O
D00048,C(CN)C(C(=O)O)N
D00049,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCC(COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC)O)OC(=O)CCCCCCCCCCCCCCCCC
D00050,CC(=CCC/C(=C\CC/C(=C\CO)/C)/C)C
D00051,C(=O)([O-])[O-].[Ag+].[Ag+]
D00052,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
D00053,CC1=CC(=O)C[C@H]2[C@]1([C@H]3CC[C@]4([C@H]([C@@H]3CC2)CC[C@@H]4O)C)C
D00054,C1=CC(=CC(=C1)Cl)CNCCC2=CC=C(C=C2)N=C(C3=CC=CS3)N
D00055,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
D00056,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
D00057,C(CC(=O)O)C(C(=O)O)N
D00058,[113In]
D00059,CC(C)[C@@H](C(=O)NS(=O)(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O)N
D00060,C1[C@@H]([C@H]([C@@H]([C@@H](N1)CO)O)O)O
D00061,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C
D00062,C1CCC(C1)NC2=NC=NC3=C2N=CN3[C@H]4C([C@H]([C@H](O4)CO)O)O
D00063,C[C@@H](CO)O
D00064,[56Fe]
D00065,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
D00066,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
D00067,CN(C)C1=CC=C(C=C1)C2=C(N=CN=C2N)C#CC3=CN=C(C=C3)N4CCOCC4
D00068,CN(C)C=O
D00069,CSCCC(N)[P+](=O)O
D00070,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
D00071,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O
D00072,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)O)O)O)O)O)O)O)O)O)O)O
D00073,C1=CC=C(C=C1)C(=O)NC2=NNC3=C2C=C(C=C3)NC(=O)[C@@H](CCN)C4=CC(=CC=C4)Cl
D00074,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C5N=CN=C6N)O)O)O)O)O
D00075,C1=CC(=CC=C1C[C@@H](C(=O)O)N)OP(=O)(O)O
D00076,CC#CCOC1=CC=C(C=C1)S(=O)(=O)CCCS
D00077,[O-2].[O-2].[O-2].[In+3].[In+3]
D00078,CC(C)CN(CC(=O)NO)S(=O)(=O)C1=CC=C(C=C1)OC
D00079,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O
D00080,C[C@@H]1C/C=C/C=C/[C@@H]([C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)OC(=O)C)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)OC(=O)CC(C)C)(C)O)N(C)C)O)CC=O)C)O
D00081,[16OH2]
D00082,C[C@]12CC[C@H]3[C@@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
D00083,CCC1=C(C(=NC(=N1)N)N)C2=CC3=C(CC[C@H](N3CCCOC)C4=CC=CC=C4)C=C2
D00084,CC[C@H]([C@@H]1[C@H](C[C@H]([C@@]2(O1)C=C[C@H]([C@]3(O2)CC[C@@](O3)(C)[C@H]4CC[C@@]([C@@H](O4)C)(CC)O)O)C)C)C(=O)[C@@H](C)[C@H]([C@H](C)[C@H]5[C@H](CCC(O5)[C@@H](CC)C(=O)O)C)O
D00085,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)O)O)O)O
D00086,CCC1C[C@H]2C3CCC4=CC(=O)CCC4[C@H]3CCC2([C@H]1O)C
D00087,C1[C@@H]([C@H]([C@@H](CN1)O)O)CO
D00088,CC(C)(C)C(C)([C@H]1C[C@@]23CC[C@]1(C4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O.C=CCN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O
D00089,CC(C)N1CCC(CC1)NC(=O)C2=CC3=CC=CC=C3N2CC(=O)NC4=CC=C(C=C4)Cl
D00090,C[C@H](/C=C/C=C(\C)/[C@H]1CN[C@@H]([C@H]1CC(=O)O)C(=O)O)C(=O)O
D00091,C[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)CC(=O)NO
D00092,C/C(=C\CCC1[C@]2(CCCC(C2CC[C@@]1(C)O)(C)C)C)/CC[C@@H]3C(=C)CCCC3(C)C
D00093,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl
D00094,[F]
D00095,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(N=C2N)F
D00096,CC(C)N1C=NC2=C1N=C(N=C2NC3=CC(=CC=C3)Cl)NCCO
D00097,[43K]
D00098,CS(=O)C
D00099,CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
D00100,C[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)OP(=O)(N[C@H](CC(C)C)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)O)O)O)O)O
D00101,[C@@H]([C@H](C(=O)[O-])O)(C(=O)[O-])O.[K+].[K+]
D00102,C(C(=O)O)C(=O)O
D00103,C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CCC4=CC(=O)CC[C@]34C
D00104,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)OC)O)O)O
D00105,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O
D00106,CCC#N
D00107,C1=CC(=C(C(=C1)F)NC(=S)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F
D00108,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)OC(=O)CCC(=O)OCC)(C)O)C)C)O)(C)O
D00109,CCC1=CN=C(C(=C1)C(=O)O)C2=NC(C(=O)N2)(C)C(C)C
D00110,CC(CCC(C)O)O
D00111,C[C@H](CC1=CC=CC=C1)NC2=NC=NC3=C2N=CN3C4[C@H]([C@H]([C@H](O4)CO)O)O
D00112,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C
D00113,[Fe]
D00114,C1CC(=O)N[C@@H]1C(=O)N2CSC[C@H]2C(=O)O
D00115,C[C@]12CCC3C(C1CC[C@]2(C#C)O)CCC4=CC(=C(C=C34)O)O
D00116,CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1CC(=CCCCC(=O)O)O2)O)O
D00117,COC1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
D00118,CC(C(=O)[O-])[O-].[Na+].[Na+]
D00119,[11B]
D00120,CCCCCC(=O)O[C@@]1(CC[C@@H]2C1(CC[C@H]3C2CCC4=CC(=O)CCC34C)C)C(=O)C
D00121,C[C@@H]1C=C2CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@@H]([C@]4(CC3)C)O)C
D00122,C[C@H]([C@H](CCC(=O)O)N)O
D00123,C1CC(NC1)C(=O)O
D00124,CC(C)CN1C=NC2=C1C(=O)N(C(=O)N2C)C
D00125,CC1=NC(=NO1)C(CC2=CC=CC=C2)(CC3=CC=C(C=C3)NS(=O)(=O)O)C4=NOC(=N4)C
D00126,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CCC4=CC(=O)C=C[C@]34C
D00127,CN1C(=O)C=CN(C1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
D00128,CC(C)(C)C1=NC2=C(N1)C3=C(C=C(C=C3)F)C4=C2C=CNC4=O
D00129,C1=CC=C(C=C1)NC2=NC(=O)C3=C(N2)N(C=N3)CCCCO
