drug_id,protein_id,interaction,split
D00000,P00000,1,test
D00001,P00001,1,test
D00002,P00002,1,test
D00003,P00003,0,test
D00004,P00004,1,test
D00005,P00005,1,test
D00006,P00006,1,test
D00007,P00007,0,test
D00008,P00001,1,test
D00009,P00008,1,test
D00010,P00009,1,test
D00011,P00010,0,test
D00012,P00011,0,test
D00013,P00012,1,test
D00014,P00013,0,test
D00015,P00014,0,test
D00016,P00015,1,test
D00017,P00016,0,test
D00018,P00017,1,test
D00019,P00018,0,test
D00020,P00019,0,test
D00021,P00020,0,test
D00013,P00021,1,test
D00013,P00022,1,test
D00022,P00023,0,test
D00023,P00024,0,test
D00024,P00025,0,test
D00025,P00026,0,test
D00026,P00027,0,test
D00013,P00028,1,test
D00027,P00015,1,test
D00010,P00029,1,test
D00028,P00030,0,test
D00029,P00031,1,test
D00030,P00032,0,test
D00031,P00015,1,test
D00032,P00032,0,test
D00013,P00033,1,test
D00033,P00034,0,test
D00034,P00015,1,test
D00035,P00035,0,test
D00036,P00036,0,test
D00037,P00015,1,test
D00010,P00037,1,test
D00038,P00038,0,test
D00039,P00039,1,test
D00040,P00040,0,test
D00013,P00041,1,test
D00041,P00042,1,test
D00042,P00043,1,test
D00043,P00044,0,test
D00044,P00015,1,test
D00045,P00045,0,test
D00046,P00046,1,test
D00047,P00047,0,test
D00048,P00048,0,test
D00049,P00049,1,test
D00050,P00050,1,test
D00051,P00051,0,test
D00052,P00015,1,test
D00053,P00052,0,test
D00054,P00053,1,test
D00055,P00054,1,test
D00056,P00055,0,test
D00057,P00056,0,test
D00058,P00057,0,test
D00059,P00058,0,test
D00060,P00059,0,test
D00061,P00060,1,test
D00062,P00061,0,test
D00063,P00062,0,test
D00064,P00063,0,test
D00065,P00064,1,test
D00066,P00065,1,test
D00067,P00066,1,test
D00068,P00041,1,test
D00069,P00067,0,test
D00070,P00068,1,test
D00064,P00069,0,test
D00071,P00070,0,test
D00072,P00071,0,test
D00073,P00001,1,test
D00074,P00053,1,test
D00075,P00072,1,test
D00076,P00073,1,test
D00077,P00016,0,test
D00078,P00074,1,test
D00079,P00075,1,test
D00080,P00076,0,test
D00081,P00077,0,test
D00082,P00078,0,test
D00083,P00079,1,test
D00084,P00080,0,test
D00085,P00081,0,test
D00086,P00082,0,test
D00087,P00083,1,test
D00088,P00084,0,test
D00089,P00033,1,test
D00013,P00085,1,test
D00090,P00086,0,test
D00091,P00087,1,test
D00092,P00088,0,test
D00065,P00089,1,test
D00093,P00015,1,test
D00094,P00090,0,test
D00095,P00091,0,test
D00010,P00092,1,test
D00096,P00093,1,test
D00097,P00094,0,test
D00098,P00079,1,test
D00099,P00015,1,test
D00100,P00026,0,test
D00101,P00095,0,test
D00102,P00096,1,test
D00103,P00097,0,test
D00104,P00098,0,test
D00105,P00099,1,test
D00106,P00100,0,test
D00013,P00101,1,test
D00107,P00102,1,test
D00108,P00103,0,test
D00109,P00104,0,test
D00110,P00105,0,test
D00111,P00106,0,test
D00009,P00107,1,test
D00112,P00108,0,test
D00075,P00109,1,test
D00113,P00110,1,test
D00114,P00111,0,test
D00115,P00112,0,test
D00116,P00113,0,test
D00117,P00114,0,test
D00029,P00115,1,test
D00118,P00116,0,test
D00119,P00117,0,test
D00120,P00118,0,test
D00092,P00119,0,test
D00121,P00120,0,test
D00122,P00121,0,test
D00123,P00122,0,test
D00124,P00123,0,test
D00125,P00124,1,test
