drug_id,protein_id,interaction,split
D00000,P00000,smiles,train
D00001,P00001,0,train
D00002,P00002,1,train
D00003,P00003,2,train
D00004,P00004,3,train
D00005,P00005,4,train
D00006,P00006,5,train
D00007,P00007,6,train
D00008,P00008,7,train
D00009,P00009,8,train
D00010,P00010,9,train
D00011,P00011,2,train
D00012,P00012,10,train
D00013,P00013,11,train
D00014,P00014,12,train
D00015,P00015,13,train
D00016,P00016,14,train
D00017,P00017,15,train
D00018,P00018,16,train
D00019,P00019,17,train
D00020,P00020,18,train
D00021,P00021,19,train
D00022,P00022,20,train
D00023,P00023,21,train
D00024,P00024,22,train
D00025,P00025,23,train
D00026,P00026,24,train
D00027,P00027,25,train
D00028,P00028,26,train
D00029,P00029,27,train
D00030,P00030,28,train
D00031,P00031,29,train
D00032,P00032,30,train
D00033,P00033,31,train
D00034,P00034,32,train
D00035,P00035,33,train
D00036,P00036,34,train
D00037,P00037,35,train
D00038,P00038,36,train
D00039,P00039,25,train
D00040,P00040,37,train
D00041,P00041,38,train
D00042,P00042,2,train
D00043,P00043,39,train
D00044,P00044,40,train
D00045,P00045,41,train
D00046,P00046,42,train
D00047,P00047,43,train
D00048,P00048,44,train
D00049,P00049,45,train
D00050,P00050,46,train
D00051,P00051,47,train
D00052,P00052,48,train
D00053,P00053,49,train
D00054,P00054,50,train
D00055,P00055,51,train
D00056,P00056,52,train
D00057,P00057,5,train
D00058,P00058,53,train
D00059,P00059,54,train
D00060,P00060,55,train
D00061,P00061,56,train
D00062,P00062,57,train
D00063,P00063,58,train
D00064,P00064,59,train
D00065,P00065,42,train
D00066,P00066,28,train
D00067,P00067,60,train
D00068,P00068,61,train
D00069,P00069,62,train
D00070,P00070,19,train
D00071,P00071,63,train
D00072,P00072,64,train
D00073,P00073,42,train
D00074,P00074,65,train
D00075,P00075,66,train
D00076,P00076,67,train
D00077,P00077,68,train
D00078,P00078,69,train
D00079,P00079,70,train
D00080,P00080,71,train
D00081,P00081,72,train
D00082,P00082,73,train
D00083,P00083,74,train
D00084,P00084,75,train
D00085,P00085,76,train
D00086,P00086,77,train
D00087,P00087,78,train
D00088,P00088,79,train
D00089,P00089,80,train
D00090,P00090,81,train
D00091,P00091,81,train
D00092,P00092,82,train
D00093,P00093,83,train
D00094,P00094,84,train
D00095,P00095,85,train
D00096,P00096,81,train
D00097,P00097,86,train
D00098,P00098,35,train
D00099,P00099,87,train
D00100,P00100,88,train
D00101,P00101,89,train
D00102,P00102,90,train
D00103,P00103,91,train
D00104,P00104,92,train
D00105,P00105,93,train
D00106,P00106,94,train
D00107,P00107,95,train
D00108,P00108,96,train
D00109,P00109,42,train
