protein_id,sequence
P00000,index
P00001,0
P00002,1
P00003,2
P00004,3
P00005,4
P00006,5
P00007,6
P00008,7
P00009,8
P00010,9
P00011,10
P00012,11
P00013,12
P00014,13
P00015,14
P00016,15
P00017,16
P00018,17
P00019,18
P00020,19
P00021,20
P00022,21
P00023,22
P00024,23
P00025,24
P00026,25
P00027,26
P00028,27
P00029,28
P00030,29
P00031,30
P00032,31
P00033,32
P00034,33
P00035,34
P00036,35
P00037,36
P00038,37
P00039,38
P00040,39
P00041,40
P00042,41
P00043,42
P00044,43
P00045,44
P00046,45
P00047,46
P00048,47
P00049,48
P00050,49
P00051,50
P00052,51
P00053,52
P00054,53
P00055,54
P00056,55
P00057,56
P00058,57
P00059,58
P00060,59
P00061,60
P00062,61
P00063,62
P00064,63
P00065,64
P00066,65
P00067,66
P00068,67
P00069,68
P00070,69
P00071,70
P00072,71
P00073,72
P00074,73
P00075,74
P00076,75
P00077,76
P00078,77
P00079,78
P00080,79
P00081,80
P00082,81
P00083,82
P00084,83
P00085,84
P00086,85
P00087,86
P00088,87
P00089,88
P00090,89
P00091,90
P00092,91
P00093,92
P00094,93
P00095,94
P00096,95
P00097,96
P00098,97
P00099,98
P00100,99
P00101,100
P00102,101
P00103,102
P00104,103
P00105,104
P00106,105
P00107,106
P00108,107
P00109,108
P00110,109
P00111,110
P00112,111
P00113,112
P00114,113
P00115,114
P00116,115
P00117,116
P00118,117
P00119,118
P00120,119
P00121,120
P00122,121
P00123,122
P00124,123
P00125,124
P00126,125
P00127,126
P00128,127
P00129,128
P00130,129
P00131,130
P00132,131
P00133,132
P00134,133
P00135,134
P00136,135
P00137,136
P00138,137
P00139,138
P00140,139
P00141,140
P00142,141
P00143,142
P00144,143
P00145,144
P00146,145
P00147,146
P00148,147
P00149,148
P00150,149
P00151,150
P00152,151
P00153,152
P00154,153
P00155,154
P00156,155
P00157,156
P00158,157
P00159,158
P00160,159
P00161,160
P00162,161
P00163,162
P00164,163
P00165,164
P00166,165
P00167,166
P00168,167
P00169,168
P00170,169
P00171,170
P00172,171
P00173,172
P00174,173
P00175,174
P00176,175
P00177,176
P00178,177
P00179,178
P00180,179
P00181,180
P00182,181
P00183,182
P00184,183
P00185,184
P00186,185
P00187,186
P00188,187
P00189,188
P00190,189
P00191,190
P00192,191
P00193,192
P00194,193
P00195,194
P00196,195
P00197,196
P00198,197
P00199,198
P00200,199
P00201,200
P00202,201
P00203,202
P00204,203
P00205,204
P00206,205
P00207,206
P00208,207
P00209,208
P00210,209
P00211,210
P00212,211
P00213,212
P00214,213
P00215,214
P00216,215
P00217,216
P00218,217
P00219,218
P00220,219
P00221,220
P00222,221
P00223,222
P00224,223
P00225,224
P00226,225
P00227,226
P00228,227
P00229,228
P00230,229
P00231,230
P00232,231
P00233,232
P00234,233
P00235,234
P00236,235
P00237,236
P00238,237
P00239,238
P00240,239
P00241,240
P00242,241
P00243,242
P00244,243
P00245,244
P00246,245
P00247,246
P00248,247
P00249,248
P00250,249
P00251,250
P00252,251
P00253,252
P00254,253
P00255,254
P00256,255
P00257,256
P00258,257
P00259,258
P00260,259
P00261,260
P00262,261
P00263,262
P00264,263
P00265,264
P00266,265
P00267,266
P00268,267
P00269,268
P00270,269
P00271,270
P00272,271
P00273,272
P00274,273
P00275,274
P00276,275
P00277,276
P00278,277
P00279,278
P00280,279
P00281,280
P00282,281
P00283,282
P00284,283
P00285,284
P00286,285
P00287,286
P00288,287
P00289,288
P00290,289
P00291,290
P00292,291
P00293,292
P00294,293
P00295,294
P00296,295
P00297,296
P00298,297
P00299,298
P00300,299
P00301,300
P00302,301
P00303,302
P00304,303
P00305,304
P00306,305
P00307,306
P00308,307
P00309,308
P00310,309
P00311,310
P00312,311
P00313,312
P00314,313
P00315,314
P00316,315
P00317,316
P00318,317
P00319,318
P00320,319
P00321,320
P00322,321
P00323,322
P00324,323
P00325,324
P00326,325
P00327,326
P00328,327
P00329,328
P00330,329
P00331,330
P00332,331
P00333,332
P00334,333
P00335,334
P00336,335
P00337,336
P00338,337
P00339,338
P00340,339
P00341,340
P00342,341
P00343,342
P00344,343
P00345,344
P00346,345
P00347,346
P00348,347
P00349,348
P00350,349
P00351,350
P00352,351
P00353,352
P00354,353
P00355,354
P00356,355
P00357,356
P00358,357
P00359,358
P00360,359
P00361,360
P00362,361
P00363,362
P00364,363
P00365,364
P00366,365
P00367,366
P00368,367
P00369,368
P00370,369
P00371,370
P00372,371
P00373,372
P00374,373
P00375,374
P00376,375
P00377,376
P00378,377
P00379,378
P00380,379
P00381,380
P00382,381
P00383,382
P00384,383
P00385,384
P00386,385
P00387,386
P00388,387
P00389,388
P00390,389
P00391,390
P00392,391
P00393,392
P00394,393
P00395,394
P00396,395
P00397,396
P00398,397
P00399,398
P00400,399
P00401,400
P00402,401
P00403,402
P00404,403
P00405,404
P00406,405
P00407,406
P00408,407
P00409,408
P00410,409
P00411,410
P00412,411
P00413,412
P00414,413
P00415,414
P00416,415
P00417,416
P00418,417
P00419,418
P00420,419
P00421,420
P00422,421
P00423,422
P00424,423
P00425,424
P00426,425
P00427,426
P00428,427
P00429,428
P00430,429
P00431,430
P00432,431
P00433,432
P00434,433
P00435,434
P00436,435
P00437,436
P00438,437
P00439,438
P00440,439
P00441,440
P00442,441
P00443,442
P00444,443
P00445,444
P00446,445
P00447,446
P00448,447
P00449,448
P00450,449
P00451,450
P00452,451
P00453,452
P00454,453
P00455,454
P00456,455
P00457,456
P00458,457
P00459,458
P00460,459
P00461,460
P00462,461
P00463,462
P00464,463
P00465,464
